Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units","Bulk GTIN"
Richmond/Norfolk,Weekly,"2021-03-28 00:00:00",Conventional,1.058868705,355717.34,109825.13,65058.47,704.91,84896.89,56753.58,107.63,12386.51,95231.93
Roanoke,Weekly,"2021-03-28 00:00:00",Conventional,1.021799891,216107.75,67716.86,26176.21,19.52,48374.97,35184.57,3073.09,4819.50,73820.19
Sacramento,Weekly,"2021-03-28 00:00:00",Conventional,1.507458607,462614.39,122166.26,156398.82,2894.60,92703.02,92314.86,116.55,0.00,88451.69
"San Diego",Weekly,"2021-03-28 00:00:00",Conventional,1.084592516,570574.56,75249.77,30459.98,18776.76,113698.42,101121.22,8001.00,3689.33,332389.63
"San Francisco",Weekly,"2021-03-28 00:00:00",Conventional,1.598827441,765546.01,173094.67,163553.40,6707.28,147806.99,147552.16,31.50,0.00,274383.67
Seattle,Weekly,"2021-03-28 00:00:00",Conventional,1.482253808,588045.81,74550.10,86000.44,301.51,77863.30,73269.87,12.60,2868.32,349330.45
"South Carolina",Weekly,"2021-03-28 00:00:00",Conventional,1.094144637,555675.78,223139.84,47514.83,1443.43,179118.33,144454.42,18062.76,2422.25,104459.36
Spokane,Weekly,"2021-03-28 00:00:00",Conventional,1.252157742,85667.68,15921.28,11950.99,3.48,16397.16,16231.70,0.00,0.00,41394.77
"St. Louis",Weekly,"2021-03-28 00:00:00",Conventional,0.985870354,215555.63,91044.86,9556.73,63.51,65579.73,59216.67,6085.80,0.00,49310.79
Syracuse,Weekly,"2021-03-28 00:00:00",Conventional,1.128042357,97263.40,10901.17,43640.01,489.89,37292.09,35026.74,2132.55,0.00,4940.25
Tampa,Weekly,"2021-03-28 00:00:00",Conventional,0.962194410,659584.58,249336.21,17809.24,9.45,208033.68,186914.99,12.60,20755.35,184396.00
Toledo,Weekly,"2021-03-28 00:00:00",Conventional,1.062627644,144664.93,19959.77,31659.14,5399.48,30250.49,25283.63,914.68,3447.02,57396.05
"West Tex/New Mexico",Weekly,"2021-03-28 00:00:00",Conventional,0.919183132,925552.55,291967.52,129103.75,8012.80,322112.05,269168.76,6146.14,45751.97,174356.43
Wichita,Weekly,"2021-03-28 00:00:00",Conventional,0.891713374,117782.84,24829.84,7258.72,6.52,37225.24,36099.67,0.00,639.13,48462.52
California,Weekly,"2021-03-28 00:00:00",Conventional,1.254962220,6217134.06,1208968.13,654782.92,204965.55,1272500.12,1161872.94,41482.35,60470.98,2875917.34
"Great Lakes",Weekly,"2021-03-28 00:00:00",Conventional,1.177818988,3948736.95,620107.21,759705.15,150138.98,989857.20,884404.71,22113.26,76074.73,1428928.43
Midsouth,Weekly,"2021-03-28 00:00:00",Conventional,1.098287130,4321996.18,1359614.75,712667.03,11616.71,1465277.88,1185127.99,87556.61,62444.37,772819.81
Northeast,Weekly,"2021-03-28 00:00:00",Conventional,1.192945670,6136962.96,561339.43,2944548.14,6798.37,2127874.91,2021940.57,85700.34,14634.90,496402.10
Plains,Weekly,"2021-03-28 00:00:00",Conventional,1.089059283,2047905.65,602617.44,433872.50,1368.73,657854.31,546921.31,34769.15,54342.26,352192.67
"South Central",Weekly,"2021-03-28 00:00:00",Conventional,0.873180379,5945950.99,2317632.90,740880.50,81491.79,1640350.27,1402061.08,90816.60,132972.40,1165595.53
Southeast,Weekly,"2021-03-28 00:00:00",Conventional,1.025856936,5808392.80,2281192.02,250517.87,2154.51,1756796.02,1542167.59,90483.88,100365.73,1517732.39
West,Weekly,"2021-03-28 00:00:00",Conventional,1.044581274,7464902.43,1663343.54,973426.76,22223.56,1477644.59,1195526.48,32300.67,131987.83,3328263.98
"Total U.S.",Weekly,"2021-03-28 00:00:00",Conventional,1.090888409,41891982.02,10614815.42,7470400.86,480758.20,11388155.29,9940022.66,485222.86,633293.20,11937852.25
Albany,Weekly,"2021-03-28 00:00:00",Organic,1.547429568,3904.65,25.93,378.16,0.00,3305.91,3100.72,0.00,0.00,194.65
Atlanta,Weekly,"2021-03-28 00:00:00",Organic,1.596423958,31810.17,56.36,2851.72,0.00,13273.38,13273.38,0.00,0.00,15628.71
Baltimore/Washington,Weekly,"2021-03-28 00:00:00",Organic,1.239817518,90614.53,462.33,3511.38,3.46,84125.83,83973.08,0.00,0.00,2511.53
Birmingham/Montgomery,Weekly,"2021-03-28 00:00:00",Organic,1.429452102,10931.15,47.66,208.64,0.00,9745.01,8941.67,803.34,0.00,929.83
Boise,Weekly,"2021-03-28 00:00:00",Organic,1.708985788,6434.07,0.94,1065.96,0.00,1894.20,1894.20,0.00,0.00,3472.96
Boston,Weekly,"2021-03-28 00:00:00",Organic,1.912606388,34200.35,67.33,2077.15,0.00,31224.69,31139.39,0.00,0.00,831.18
Buffalo/Rochester,Weekly,"2021-03-28 00:00:00",Organic,1.464240326,15490.16,899.14,116.95,0.00,14474.07,14474.07,0.00,0.00,0.00
Charlotte,Weekly,"2021-03-28 00:00:00",Organic,1.641031682,19239.88,88.73,2686.09,34.90,14342.56,14342.56,0.00,0.00,2087.59
Chicago,Weekly,"2021-03-28 00:00:00",Organic,1.612714444,46010.63,390.77,4039.63,0.00,22029.55,21617.95,411.60,0.00,19550.68
Cincinnati/Dayton,Weekly,"2021-03-28 00:00:00",Organic,1.571338489,15191.08,488.90,2215.68,0.00,3647.25,2943.38,703.87,0.00,8839.25
Columbus,Weekly,"2021-03-28 00:00:00",Organic,1.533936349,9632.80,465.73,909.23,0.00,3890.14,3375.45,514.69,0.00,4367.69
"Dallas/Ft. Worth",Weekly,"2021-03-28 00:00:00",Organic,1.532051401,48910.58,2525.03,807.46,295.82,31649.05,31649.05,0.00,0.00,13633.21
Denver,Weekly,"2021-03-28 00:00:00",Organic,1.486931260,32823.18,2881.47,712.23,0.00,11702.42,11702.42,0.00,0.00,17527.07
Detroit,Weekly,"2021-03-28 00:00:00",Organic,1.155536043,21412.18,158.60,1848.20,0.00,13743.21,13743.21,0.00,0.00,5662.16
"Grand Rapids",Weekly,"2021-03-28 00:00:00",Organic,0.947978230,12606.60,17.01,1104.73,0.00,11484.86,11411.14,0.00,0.00,0.00
Harrisburg/Scranton,Weekly,"2021-03-28 00:00:00",Organic,1.252458987,21037.49,149.02,428.67,0.00,20450.43,20191.48,0.00,0.00,9.37
Hartford/Springfield,Weekly,"2021-03-28 00:00:00",Organic,2.173017755,17444.30,391.79,7410.39,0.00,9556.99,9195.16,0.00,0.00,85.12
Houston,Weekly,"2021-03-28 00:00:00",Organic,1.633581514,13358.89,3805.10,110.59,0.00,3650.19,3650.19,0.00,0.00,5793.01
Indianapolis,Weekly,"2021-03-28 00:00:00",Organic,1.361176493,9224.27,96.03,789.99,0.00,5298.37,4275.36,1023.01,0.00,3039.88
Jacksonville,Weekly,"2021-03-28 00:00:00",Organic,1.460155405,12267.50,33.89,250.67,0.00,11876.80,11876.80,0.00,0.00,106.15
"Las Vegas",Weekly,"2021-03-28 00:00:00",Organic,1.460120392,13238.74,476.22,372.61,0.00,8131.46,8131.46,0.00,0.00,4258.45
"Los Angeles",Weekly,"2021-03-28 00:00:00",Organic,1.607565011,139169.02,7099.42,2283.20,7.03,79163.95,77321.20,1839.60,3.15,50615.41
Louisville,Weekly,"2021-03-28 00:00:00",Organic,1.599116325,4869.86,0.94,526.52,0.00,1400.58,1252.98,147.59,0.00,2941.81
"Miami/Ft. Lauderdale",Weekly,"2021-03-28 00:00:00",Organic,1.293606030,44971.20,151.66,0.00,0.00,43962.33,43962.33,0.00,0.00,857.21
Nashville,Weekly,"2021-03-28 00:00:00",Organic,1.539106102,14190.36,22.93,1219.32,0.00,7027.50,7027.50,0.00,0.00,5920.60
"Northern New England",Weekly,"2021-03-28 00:00:00",Organic,1.844709548,17852.35,57.77,606.34,0.00,15359.98,15260.10,0.00,0.00,1828.26
"New Orleans/Mobile",Weekly,"2021-03-28 00:00:00",Organic,1.147030440,15682.52,55.57,54.85,0.00,14979.16,12680.98,2298.18,0.00,592.95
"New York",Weekly,"2021-03-28 00:00:00",Organic,1.725847462,110040.76,9451.22,6890.62,1023.66,86491.10,77653.70,0.00,0.00,6184.17
Orlando,Weekly,"2021-03-28 00:00:00",Organic,1.304626478,29005.15,56.77,0.00,0.00,28825.53,28825.53,0.00,0.00,122.85
Peoria/Springfield,Weekly,"2021-03-28 00:00:00",Organic,1.385336401,4106.49,0.00,378.01,0.00,2920.48,2920.48,0.00,0.00,807.99
Philadelphia,Weekly,"2021-03-28 00:00:00",Organic,1.654083684,28651.85,1353.30,2005.91,0.00,21609.73,18844.66,0.00,0.00,3682.90
Phoenix/Tucson,Weekly,"2021-03-28 00:00:00",Organic,1.314110024,30941.04,2465.74,775.66,0.00,17221.02,17202.41,0.00,0.00,10478.62
Pittsburgh,Weekly,"2021-03-28 00:00:00",Organic,1.309178708,13366.71,1615.61,2.87,0.00,10845.15,10845.15,0.00,0.00,903.09
Portland,Weekly,"2021-03-28 00:00:00",Organic,2.006335917,38552.65,367.56,9463.69,0.00,7076.81,4859.60,0.00,0.00,21644.60
Providence,Weekly,"2021-03-28 00:00:00",Organic,1.968227942,4104.30,8.03,6.49,0.00,4088.48,4080.61,0.00,0.00,1.30
Raleigh/Greensboro,Weekly,"2021-03-28 00:00:00",Organic,1.586680300,23804.18,723.88,2945.06,38.62,15173.48,15173.48,0.00,0.00,4923.15
Richmond/Norfolk,Weekly,"2021-03-28 00:00:00",Organic,0.965330861,38235.76,25.17,1303.53,3.28,31882.55,31879.40,0.00,3.15,5021.23
Roanoke,Weekly,"2021-03-28 00:00:00",Organic,1.130857987,14995.75,17.39,1162.33,0.00,11251.66,11251.66,0.00,0.00,2564.37
Sacramento,Weekly,"2021-03-28 00:00:00",Organic,1.816985466,25508.97,4973.42,3568.96,0.00,14086.89,13537.03,0.00,0.00,2879.70
"San Diego",Weekly,"2021-03-28 00:00:00",Organic,1.844469996,34584.92,474.66,985.36,1.44,19470.04,18998.27,0.00,0.00,13653.42
"San Francisco",Weekly,"2021-03-28 00:00:00",Organic,1.929747816,75616.66,3810.65,6120.93,1.36,48606.83,48606.83,0.00,0.00,17076.89
Seattle,Weekly,"2021-03-28 00:00:00",Organic,1.838358341,81604.22,1033.03,9990.95,6.74,28372.36,12878.12,0.00,0.00,42201.14
"South Carolina",Weekly,"2021-03-28 00:00:00",Organic,1.596623673,25753.34,953.68,2265.21,50.50,16607.69,16607.69,0.00,0.00,5876.27
Spokane,Weekly,"2021-03-28 00:00:00",Organic,2.099309478,4251.68,175.90,691.67,0.00,934.37,934.37,0.00,0.00,2449.75
"St. Louis",Weekly,"2021-03-28 00:00:00",Organic,1.772549563,7629.52,2762.28,576.38,0.00,3180.45,3177.30,0.00,3.15,1110.40
Syracuse,Weekly,"2021-03-28 00:00:00",Organic,1.576866420,4850.59,219.90,130.08,0.00,4451.09,4421.50,0.00,0.00,49.52
Tampa,Weekly,"2021-03-28 00:00:00",Organic,1.114038592,28823.07,57.88,0.00,0.00,28624.12,28614.67,0.00,9.45,141.07
Toledo,Weekly,"2021-03-28 00:00:00",Organic,1.392127112,4874.00,46.01,619.17,0.00,2360.09,2230.24,129.86,0.00,1848.73
"West Tex/New Mexico",Weekly,"2021-03-28 00:00:00",Organic,1.144653847,35562.73,798.38,730.11,2443.17,28304.41,28304.41,0.00,0.00,3286.66
Wichita,Weekly,"2021-03-28 00:00:00",Organic,1.420270998,2812.55,360.64,6.52,0.00,922.43,922.43,0.00,0.00,1522.96
California,Weekly,"2021-03-28 00:00:00",Organic,1.759633425,341646.15,23137.43,20290.28,11.46,198818.39,193017.14,1839.60,3.15,99388.59
"Great Lakes",Weekly,"2021-03-28 00:00:00",Organic,1.381919581,178466.32,5085.52,16055.23,0.00,103865.97,100471.32,3312.23,0.00,53459.60
Midsouth,Weekly,"2021-03-28 00:00:00",Organic,1.315246449,286174.64,2186.35,20900.07,104.67,217723.14,216864.93,418.88,3.15,45260.41
Northeast,Weekly,"2021-03-28 00:00:00",Organic,1.688022972,298664.32,15755.68,22259.06,1037.90,245145.16,231275.14,0.00,0.00,14466.52
Plains,Weekly,"2021-03-28 00:00:00",Organic,1.456011771,51269.39,10496.16,1708.34,13.54,33736.35,30966.14,2740.65,3.15,5315.00
"South Central",Weekly,"2021-03-28 00:00:00",Organic,1.401167321,151142.17,8200.88,4073.99,1866.63,110839.97,109184.41,1655.56,0.00,26160.70
Southeast,Weekly,"2021-03-28 00:00:00",Organic,1.369570828,242321.66,1643.42,7695.35,54.82,204209.92,201599.30,2601.17,9.45,28718.15
West,Weekly,"2021-03-28 00:00:00",Organic,1.654467841,320063.73,14504.86,30824.13,1492.32,130823.68,110405.01,0.00,0.00,142418.75
"Total U.S.",Weekly,"2021-03-28 00:00:00",Organic,1.538269352,1869748.38,81010.30,123806.45,4581.35,1245162.57,1193783.37,12568.09,18.90,415187.71
Albany,Weekly,"2021-04-04 00:00:00",Conventional,1.005749202,154618.49,15965.24,105287.70,29.44,27749.37,25118.10,2368.80,0.00,5586.73
Atlanta,Weekly,"2021-04-04 00:00:00",Conventional,1.095100709,716629.51,237656.12,25571.75,90.85,201816.92,178115.96,13346.16,7776.11,251493.87
Baltimore/Washington,Weekly,"2021-04-04 00:00:00",Conventional,1.317377864,979737.45,208030.31,275204.09,2701.32,385446.01,344638.93,12.60,24195.15,108355.72
Birmingham/Montgomery,Weekly,"2021-04-04 00:00:00",Conventional,1.011704471,343700.07,145341.80,8652.91,16.32,112452.69,96871.19,12996.11,2163.88,77236.35
Boise,Weekly,"2021-04-04 00:00:00",Conventional,1.325685099,122311.96,31328.82,7883.86,1064.23,36450.86,29839.01,3.15,462.29,45584.19
Boston,Weekly,"2021-04-04 00:00:00",Conventional,1.433672728,697251.33,26074.78,394153.93,158.06,199568.40,169809.23,28230.44,0.00,77296.17
Buffalo/Rochester,Weekly,"2021-04-04 00:00:00",Conventional,1.206554050,204325.83,18967.72,62020.91,2615.58,115320.42,111185.80,3364.20,715.05,5401.20
Charlotte,Weekly,"2021-04-04 00:00:00",Conventional,1.195865310,335672.66,145542.29,43376.96,2369.39,128865.12,99370.67,14901.08,0.00,15518.91
Chicago,Weekly,"2021-04-04 00:00:00",Conventional,1.514105298,800142.16,100554.00,114029.73,28294.86,243552.70,227215.56,2079.39,12941.48,313710.87
Cincinnati/Dayton,Weekly,"2021-04-04 00:00:00",Conventional,1.246925546,284932.27,50449.05,47472.42,219.85,42246.73,34233.47,242.94,5952.57,144544.22
Columbus,Weekly,"2021-04-04 00:00:00",Conventional,1.227478414,235272.77,39376.47,35453.85,100.20,50018.58,42057.40,3.15,7009.73,110323.67
"Dallas/Ft. Worth",Weekly,"2021-04-04 00:00:00",Conventional,0.874689676,1563916.65,515634.90,164776.06,12102.80,500392.51,408171.30,31449.60,58676.71,371010.38
Denver,Weekly,"2021-04-04 00:00:00",Conventional,1.214958987,1031482.04,167342.12,82419.88,3502.68,341140.32,229383.24,68496.58,22996.20,437077.04
Detroit,Weekly,"2021-04-04 00:00:00",Conventional,1.287165540,431570.70,72438.66,56264.22,56025.00,110831.03,104336.24,3.15,5540.18,136011.79
"Grand Rapids",Weekly,"2021-04-04 00:00:00",Conventional,1.477728560,181644.65,18668.18,47816.62,55072.20,40531.03,37037.68,0.00,3493.35,19556.63
Harrisburg/Scranton,Weekly,"2021-04-04 00:00:00",Conventional,1.027806071,478077.83,198629.55,122349.69,159.58,138367.50,126105.25,8344.35,3657.15,18571.50
Hartford/Springfield,Weekly,"2021-04-04 00:00:00",Conventional,1.341718277,397291.11,12587.75,281637.29,267.18,95433.02,87591.52,7336.35,0.00,7365.88
Houston,Weekly,"2021-04-04 00:00:00",Conventional,0.913069096,1142520.63,496353.34,207019.42,3279.46,209462.34,184307.93,37.80,23678.41,226406.07
Indianapolis,Weekly,"2021-04-04 00:00:00",Conventional,1.118416498,257148.48,46146.00,64176.15,269.14,57942.00,50226.58,4376.93,2278.02,88615.19
Jacksonville,Weekly,"2021-04-04 00:00:00",Conventional,1.060027343,236717.54,91449.99,9556.92,40.97,71841.01,65490.53,6235.82,0.00,63828.65
"Las Vegas",Weekly,"2021-04-04 00:00:00",Conventional,1.154659726,353005.82,63295.44,45321.80,202.96,111974.70,93423.22,18.90,4362.21,132210.92
"Los Angeles",Weekly,"2021-04-04 00:00:00",Conventional,1.341457655,2854924.12,607982.15,41582.13,124519.04,684717.38,601924.89,29219.40,48121.47,1396123.42
Louisville,Weekly,"2021-04-04 00:00:00",Conventional,1.160946067,132863.24,23619.35,13183.56,43.77,39578.46,33666.27,4349.36,1053.97,56438.11
"Miami/Ft. Lauderdale",Weekly,"2021-04-04 00:00:00",Conventional,1.056836451,1043539.73,469787.03,38665.07,144.40,293381.89,266434.97,2899.05,23543.10,241561.33
Nashville,Weekly,"2021-04-04 00:00:00",Conventional,1.120550240,290412.28,88873.35,13873.89,16.79,88318.18,76058.13,7739.94,2809.56,99330.08
"Northern New England",Weekly,"2021-04-04 00:00:00",Conventional,1.151344866,556985.30,63890.32,344315.67,85.74,105650.90,86239.67,18945.79,0.00,43042.66
"New Orleans/Mobile",Weekly,"2021-04-04 00:00:00",Conventional,0.937015373,338240.20,125157.95,22514.90,51.19,135890.85,119380.37,4216.28,12169.63,54625.31
"New York",Weekly,"2021-04-04 00:00:00",Conventional,1.265158385,2091307.39,59958.06,1178481.51,1176.47,760283.64,744522.75,14520.09,0.00,91407.71
Orlando,Weekly,"2021-04-04 00:00:00",Conventional,1.020012864,621419.75,232635.37,13542.58,21.73,228182.84,205520.18,9327.81,13037.85,147037.22
Peoria/Springfield,Weekly,"2021-04-04 00:00:00",Conventional,1.116538427,129250.81,31191.54,26249.14,76.99,41627.12,34293.04,3230.72,3831.80,30106.01
Philadelphia,Weekly,"2021-04-04 00:00:00",Conventional,1.093749726,720768.50,168292.56,239241.15,293.97,246955.57,233342.81,9875.25,976.50,65985.25
Phoenix/Tucson,Weekly,"2021-04-04 00:00:00",Conventional,0.963586090,1258546.06,402118.12,173301.03,4268.01,165606.74,106770.90,9.45,44793.11,513252.16
Pittsburgh,Weekly,"2021-04-04 00:00:00",Conventional,1.280343179,119441.24,26875.44,11139.39,10.43,47117.27,42252.60,9.45,4803.75,34298.72
Portland,Weekly,"2021-04-04 00:00:00",Conventional,1.421230349,654359.43,115447.64,62276.78,5079.65,117999.44,111328.04,289.80,4713.04,353555.93
Providence,Weekly,"2021-04-04 00:00:00",Conventional,1.512530797,103314.08,3340.41,63709.76,31.29,24369.63,19051.47,5222.39,0.00,11862.99
Raleigh/Greensboro,Weekly,"2021-04-04 00:00:00",Conventional,1.163411346,447768.02,198364.87,67662.34,2425.63,164054.75,119825.77,20020.35,0.00,15260.42
Richmond/Norfolk,Weekly,"2021-04-04 00:00:00",Conventional,1.181265254,317336.20,90744.53,67706.35,544.69,78131.97,49038.55,151.20,13120.64,80208.66
Roanoke,Weekly,"2021-04-04 00:00:00",Conventional,1.094376212,200460.43,58400.52,31702.99,42.11,50072.26,35738.19,3365.12,5289.23,60242.55
Sacramento,Weekly,"2021-04-04 00:00:00",Conventional,1.610902631,452916.39,116916.32,137221.62,2373.62,102812.83,102215.66,292.95,0.00,93592.00
"San Diego",Weekly,"2021-04-04 00:00:00",Conventional,1.403164079,494730.92,92858.31,21718.60,15531.07,116285.58,103921.84,7141.05,4407.07,248337.37
"San Francisco",Weekly,"2021-04-04 00:00:00",Conventional,1.675525768,727012.45,144533.33,147439.60,5816.77,154086.56,153675.09,110.25,0.00,275136.20
Seattle,Weekly,"2021-04-04 00:00:00",Conventional,1.678141935,530016.96,77114.56,64230.09,470.04,84741.74,79384.65,20.08,3226.08,303460.53
"South Carolina",Weekly,"2021-04-04 00:00:00",Conventional,1.175822317,515116.46,212984.32,44317.26,1072.81,170717.05,132505.07,21461.48,2106.92,86025.03
Spokane,Weekly,"2021-04-04 00:00:00",Conventional,1.380697811,78748.57,17983.61,8443.99,46.82,17767.61,17630.72,0.00,0.00,34506.54
"St. Louis",Weekly,"2021-04-04 00:00:00",Conventional,1.021554664,197652.02,77687.18,9005.37,44.29,69128.19,61759.70,7117.03,0.00,41786.99
Syracuse,Weekly,"2021-04-04 00:00:00",Conventional,1.154826043,99222.84,10320.41,44646.32,579.11,40768.75,38273.25,2394.00,0.00,2908.24
Tampa,Weekly,"2021-04-04 00:00:00",Conventional,0.982849670,630788.34,243530.99,18858.97,10.39,200489.53,178581.90,34.65,21530.25,167898.46
Toledo,Weekly,"2021-04-04 00:00:00",Conventional,1.160915069,139354.02,21772.80,27611.14,9755.50,33177.61,27598.45,1000.52,4111.79,47036.96
"West Tex/New Mexico",Weekly,"2021-04-04 00:00:00",Conventional,0.846706868,1028948.49,363462.19,128668.15,8551.34,366769.28,304412.38,10900.03,50520.04,161497.52
Wichita,Weekly,"2021-04-04 00:00:00",Conventional,0.935326350,116015.95,27123.54,4505.79,8.65,40116.30,38121.11,474.08,1011.42,44261.68
California,Weekly,"2021-04-04 00:00:00",Conventional,1.441819191,5744292.63,1289986.47,563223.21,164647.94,1312671.33,1208387.82,40188.23,55875.74,2413763.69
"Great Lakes",Weekly,"2021-04-04 00:00:00",Conventional,1.278066693,3880915.10,640943.86,727401.45,236588.91,991025.54,875337.25,24065.72,83520.31,1284955.34
Midsouth,Weekly,"2021-04-04 00:00:00",Conventional,1.169739076,4086127.51,1298532.31,713528.95,9944.42,1352184.82,1058336.98,89773.43,66450.53,711936.99
Northeast,Weekly,"2021-04-04 00:00:00",Conventional,1.226318028,6139765.35,651599.67,3124756.11,7564.68,1964662.62,1835931.73,110209.43,13516.65,391182.28
Plains,Weekly,"2021-04-04 00:00:00",Conventional,1.154849577,2030794.04,599218.85,399475.29,1240.75,694012.64,570891.44,40189.78,58219.08,336846.50
"South Central",Weekly,"2021-04-04 00:00:00",Conventional,0.882717316,6269843.59,2651478.88,711217.60,88388.81,1767592.08,1480175.13,131385.32,148065.69,1051166.22
Southeast,Weekly,"2021-04-04 00:00:00",Conventional,1.045198489,5571702.86,2213951.46,216496.23,1805.37,1740941.12,1515838.45,99657.73,100540.45,1398508.68
West,Weekly,"2021-04-04 00:00:00",Conventional,1.188271405,6944566.42,1665469.76,767064.18,24087.29,1662275.70,1278133.86,107307.38,153398.36,2825669.49
"Total U.S.",Weekly,"2021-04-04 00:00:00",Conventional,1.168157400,40668007.50,11011181.27,7223163.03,534268.17,11485365.85,9823032.66,642777.01,679586.80,10414029.18
Albany,Weekly,"2021-04-04 00:00:00",Organic,1.584027119,3879.48,50.93,273.96,0.00,3375.10,3275.04,0.00,0.00,179.49
Atlanta,Weekly,"2021-04-04 00:00:00",Organic,1.779687189,29236.87,40.97,2564.20,0.00,10439.90,10439.90,0.00,0.00,16191.79
Baltimore/Washington,Weekly,"2021-04-04 00:00:00",Organic,1.248698072,93721.76,417.82,3259.45,14.95,87939.40,87917.23,0.00,3.15,2090.15
Birmingham/Montgomery,Weekly,"2021-04-04 00:00:00",Organic,1.458066314,10731.60,46.86,166.66,0.00,9613.60,8555.80,1054.65,3.15,904.47
Boise,Weekly,"2021-04-04 00:00:00",Organic,2.020811273,5790.63,0.94,843.76,1.21,1177.05,1177.05,0.00,0.00,3767.66
Boston,Weekly,"2021-04-04 00:00:00",Organic,1.980286385,36288.05,57.63,1509.91,0.00,33728.29,33618.26,0.00,0.00,992.21
Buffalo/Rochester,Weekly,"2021-04-04 00:00:00",Organic,1.479947058,16138.17,838.24,88.89,4.44,15206.60,15206.60,0.00,0.00,0.00
Charlotte,Weekly,"2021-04-04 00:00:00",Organic,1.715463782,18922.08,53.71,2696.61,29.13,14704.98,14704.98,0.00,0.00,1437.66
Chicago,Weekly,"2021-04-04 00:00:00",Organic,1.713748246,47870.09,467.06,5205.60,0.00,21735.83,21273.83,462.00,0.00,20461.60
Cincinnati/Dayton,Weekly,"2021-04-04 00:00:00",Organic,2.021574065,17530.56,542.69,2277.10,0.00,3053.17,2739.75,313.42,0.00,11657.59
Columbus,Weekly,"2021-04-04 00:00:00",Organic,1.850215098,10029.52,467.44,903.93,0.00,3674.83,3332.36,342.47,0.00,4983.32
"Dallas/Ft. Worth",Weekly,"2021-04-04 00:00:00",Organic,1.543359631,46148.59,3098.32,506.86,171.92,30920.25,30920.25,0.00,0.00,11451.24
Denver,Weekly,"2021-04-04 00:00:00",Organic,1.677452220,35086.66,4271.28,591.12,0.00,11333.87,11330.72,0.00,3.15,18890.38
Detroit,Weekly,"2021-04-04 00:00:00",Organic,1.401061205,22230.29,196.07,1733.73,0.00,13868.38,13868.38,0.00,0.00,6432.12
"Grand Rapids",Weekly,"2021-04-04 00:00:00",Organic,1.032863397,12655.30,17.84,1099.28,0.00,11538.18,11518.16,0.00,0.00,0.00
Harrisburg/Scranton,Weekly,"2021-04-04 00:00:00",Organic,1.276163855,22795.96,124.25,517.52,0.00,22135.48,21931.12,0.00,0.00,18.72
Hartford/Springfield,Weekly,"2021-04-04 00:00:00",Organic,2.146745936,15882.22,332.49,5763.34,0.00,9668.89,9398.58,0.00,0.00,117.50
Houston,Weekly,"2021-04-04 00:00:00",Organic,1.723997775,14697.38,4332.42,76.59,0.00,3064.03,3064.03,0.00,0.00,7224.34
Indianapolis,Weekly,"2021-04-04 00:00:00",Organic,1.683268989,8706.09,114.69,742.16,0.00,4751.80,3745.66,1006.14,0.00,3097.44
Jacksonville,Weekly,"2021-04-04 00:00:00",Organic,1.480705179,11817.60,33.36,208.42,0.00,11465.71,11465.71,0.00,0.00,110.12
"Las Vegas",Weekly,"2021-04-04 00:00:00",Organic,1.634509143,14950.97,791.78,376.37,0.00,6197.89,6197.89,0.00,0.00,7584.94
"Los Angeles",Weekly,"2021-04-04 00:00:00",Organic,1.656543102,161899.68,4673.55,3183.92,11.22,83118.65,81015.50,2100.00,3.15,70912.34
Louisville,Weekly,"2021-04-04 00:00:00",Organic,2.054926486,4906.88,8.51,482.41,0.00,1300.89,1187.13,113.76,0.00,3115.07
"Miami/Ft. Lauderdale",Weekly,"2021-04-04 00:00:00",Organic,1.308218609,41220.37,115.55,0.00,0.00,40422.18,40422.18,0.00,0.00,682.63
Nashville,Weekly,"2021-04-04 00:00:00",Organic,1.814540436,14331.68,30.44,1093.34,0.00,6955.82,6955.82,0.00,0.00,6252.09
"Northern New England",Weekly,"2021-04-04 00:00:00",Organic,1.926763089,18204.10,96.16,537.18,0.00,15378.59,15322.31,0.00,0.00,2192.17
"New Orleans/Mobile",Weekly,"2021-04-04 00:00:00",Organic,1.182853973,15373.41,111.52,57.03,0.00,14670.02,12333.54,2336.49,0.00,534.85
"New York",Weekly,"2021-04-04 00:00:00",Organic,1.818652476,104866.96,9927.57,6682.81,979.21,80416.82,75757.46,0.00,3.15,6860.55
Orlando,Weekly,"2021-04-04 00:00:00",Organic,1.333753429,27143.11,35.84,0.00,0.00,26973.92,26973.92,0.00,0.00,133.35
Peoria/Springfield,Weekly,"2021-04-04 00:00:00",Organic,1.763768904,4279.73,0.00,448.08,0.00,2542.68,2542.68,0.00,0.00,1288.96
Philadelphia,Weekly,"2021-04-04 00:00:00",Organic,1.789131279,27220.47,1173.40,1835.31,0.00,20136.16,18828.17,0.00,0.00,4075.60
Phoenix/Tucson,Weekly,"2021-04-04 00:00:00",Organic,1.422366682,35054.75,2272.27,904.81,0.00,18140.83,18131.53,0.00,0.00,13736.83
Pittsburgh,Weekly,"2021-04-04 00:00:00",Organic,1.280592426,13497.96,1401.73,1.42,0.00,11179.54,11179.54,0.00,0.00,915.27
Portland,Weekly,"2021-04-04 00:00:00",Organic,2.344947625,39821.43,243.48,7221.57,0.00,7493.58,4920.17,0.00,0.00,24862.80
